"strain","treatment","background","knockout","control","gene","estimate","p.value","padj"
"8st-9","8st-9","8st","phi9","T7Hi","1.4",-0.0019,0.014,0.021
"8st-9","8st-9","8st","phi9","T7Hi","4.5",-0.019,0.015,0.022
"8st-9","8st-9","8st","phi9","T7Hi","0.3",-0.00087,0.019,0.028
"8st-9","8st-9","8st","phi9","T7Hi","19.3",-0.0026,0.022,0.03
"8st-9","8st-9","8st","phi9","T7Hi","0.7",-0.00043,0.024,0.032
"8st-9","8st-9","8st","phi9","T7Hi","16",0.0023,0.028,0.038
"8st-9","8st-9","8st","phi9","T7Hi","3",-0.011,0.029,0.038
"8st-9","8st-9","8st","phi9","T7Hi","19.2",-0.0036,0.035,0.044
"8st-9","8st-9","8st","phi9","T7Hi","7",0.0065,0.044,0.055
"8st-9","8st-9","8st","phi9","T7Hi","19",-0.0017,0.06,0.073
"8st-9","8st-9","8st","phi9","T7Hi","19.5",0.017,0.073,0.087
"8st-9","8st-9","8st","phi9","T7Hi","17.5",-0.0041,0.1,0.12
"8st-9","8st-9","8st","phi9","T7Hi","6.5",0.0049,0.11,0.13
"8st-9","8st-9","8st","phi9","T7Hi","1",-0.00018,0.13,0.15
"8st-9","8st-9","8st","phi9","T7Hi","18",-0.0021,0.27,0.3
"8st-9","8st-9","8st","phi9","T7Hi","17",-0.0021,0.27,0.3
"8st-9","8st-9","8st","phi9","T7Hi","6.7",0.0029,0.31,0.33
"8st-9","8st-9","8st","phi9","T7Hi","0.6A",-8.9e-07,0.44,0.47
"8st-9","8st-9","8st","phi9","T7Hi","0.4",6e-07,0.52,0.53
"8st-9","8st-9","8st","phi9","T7Hi","0.6B",-2.7e-07,0.7,0.71
"8st-9","8st-9","8st","phi9","T7Hi","0.5",-4.6e-08,0.96,0.96
"8st-910","8st-910","8st","phi910","T7Hi","10B",0.11,1.2e-08,5.7e-07
"8st-910","8st-910","8st","phi910","T7Hi","10A",0.11,1.9e-08,5.7e-07
"8st-910","8st-910","8st","phi910","T7Hi","1.3",-0.0045,1.2e-07,2.3e-06
"8st-910","8st-910","8st","phi910","T7Hi","9",0.043,2.5e-06,3e-05
"8st-910","8st-910","8st","phi910","T7Hi","11",0.0097,2.1e-06,3e-05
"8st-910","8st-910","8st","phi910","T7Hi","12",0.0068,6.8e-06,6.8e-05
"8st-910","8st-910","8st","phi910","T7Hi","8",0.016,8.7e-06,7.5e-05
"8st-910","8st-910","8st","phi910","T7Hi","5.7",-0.0089,1.8e-05,0.00013
"8st-910","8st-910","8st","phi910","T7Hi","1.2",-0.0048,3.4e-05,0.00022
"8st-910","8st-910","8st","phi910","T7Hi","6",-0.0069,3.6e-05,0.00022
"8st-910","8st-910","8st","phi910","T7Hi","5.5-5.7",-0.0065,4.2e-05,0.00023
"8st-910","8st-910","8st","phi910","T7Hi","1.6",-0.0091,5.3e-05,0.00026
"8st-910","8st-910","8st","phi910","T7Hi","1.5",-0.0091,6.8e-05,0.00031
"8st-910","8st-910","8st","phi910","T7Hi","5.9",-0.009,7.3e-05,0.00031
"8st-910","8st-910","8st","phi910","T7Hi","5.5",-0.0072,8e-05,0.00032
"8st-910","8st-910","8st","phi910","T7Hi","18.7",-0.0066,0.00015,0.00056
"8st-910","8st-910","8st","phi910","T7Hi","1.7",-0.011,0.00037,0.0013
"8st-910","8st-910","8st","phi910","T7Hi","1.1",-0.0052,0.00047,0.0016
"8st-910","8st-910","8st","phi910","T7Hi","2",-0.013,0.00056,0.0016
"8st-910","8st-910","8st","phi910","T7Hi","3.5",-0.012,6e-04,0.0016
"8st-910","8st-910","8st","phi910","T7Hi","4.3",-0.021,0.00058,0.0016
"8st-910","8st-910","8st","phi910","T7Hi","5.3",-0.0066,0.00056,0.0016
"8st-910","8st-910","8st","phi910","T7Hi","18.5",-0.0058,0.00057,0.0016
"8st-910","8st-910","8st","phi910","T7Hi","15",0.0043,0.00074,0.0019
"8st-910","8st-910","8st","phi910","T7Hi","1.8",-0.017,0.00094,0.0021
"8st-910","8st-910","8st","phi910","T7Hi","4.2",-0.01,0.00092,0.0021
"8st-910","8st-910","8st","phi910","T7Hi","5",-0.0038,0.00089,0.0021
"8st-910","8st-910","8st","phi910","T7Hi","0.3",-0.00072,0.0023,0.005
"8st-910","8st-910","8st","phi910","T7Hi","6.3",-0.012,0.0024,0.005
"8st-910","8st-910","8st","phi910","T7Hi","0.7",-0.00035,0.0029,0.0051
"8st-910","8st-910","8st","phi910","T7Hi","2.5",-0.011,0.003,0.0051
"8st-910","8st-910","8st","phi910","T7Hi","3.8",-0.0031,0.0026,0.0051
"8st-910","8st-910","8st","phi910","T7Hi","4A",-0.0052,0.003,0.0051
"8st-910","8st-910","8st","phi910","T7Hi","4.1",-0.0074,0.0027,0.0051
"8st-910","8st-910","8st","phi910","T7Hi","4B",-0.0054,0.003,0.0051
"8st-910","8st-910","8st","phi910","T7Hi","14",0.0045,0.0026,0.0051
"8st-910","8st-910","8st","phi910","T7Hi","2.8",-0.009,0.0032,0.0051
"8st-910","8st-910","8st","phi910","T7Hi","13",0.0024,0.0035,0.0056
"8st-910","8st-910","8st","phi910","T7Hi","4.7",-0.0034,0.0045,0.0068
"8st-910","8st-910","8st","phi910","T7Hi","16",0.003,0.0055,0.008
"8st-910","8st-910","8st","phi910","T7Hi","19",-0.0043,0.0057,0.008
"8st-910","8st-910","8st","phi910","T7Hi","19.2",-0.008,0.0055,0.008
"8st-910","8st-910","8st","phi910","T7Hi","19.3",-0.0063,0.0057,0.008
"8st-910","8st-910","8st","phi910","T7Hi","17.5",-0.009,0.0074,0.01
"8st-910","8st-910","8st","phi910","T7Hi","17",-0.0087,0.0092,0.012
"8st-910","8st-910","8st","phi910","T7Hi","1",-0.00029,0.015,0.019
"8st-910","8st-910","8st","phi910","T7Hi","4.5",-0.015,0.017,0.021
"8st-910","8st-910","8st","phi910","T7Hi","7.7",0.0067,0.018,0.023
"8st-910","8st-910","8st","phi910","T7Hi","1.4",-0.0026,0.024,0.03
"8st-910","8st-910","8st","phi910","T7Hi","18",-0.0071,0.025,0.03
"8st-910","8st-910","8st","phi910","T7Hi","3",-0.012,0.038,0.045
"8st-910","8st-910","8st","phi910","T7Hi","6.7",-0.0033,0.26,0.3
"8st-910","8st-910","8st","phi910","T7Hi","0.6A",-5.8e-07,0.33,0.38
"8st-910","8st-910","8st","phi910","T7Hi","0.4",6.8e-07,0.5,0.56
"8st-910","8st-910","8st","phi910","T7Hi","6.5",-0.0022,0.52,0.57
"8st-910","8st-910","8st","phi910","T7Hi","0.5",-3.3e-07,0.74,0.79
"8st-910","8st-910","8st","phi910","T7Hi","0.6B",-1e-07,0.83,0.87
"8st-910","8st-910","8st","phi910","T7Hi","19.5",0.0025,0.84,0.87
"8st-910","8st-910","8st","phi910","T7Hi","7",-6e-04,0.85,0.87
"8st-910","8st-910","8st","phi910","T7Hi","7.3",-1e-04,0.98,0.98
"8st-910evo","8st-910evo","8st","phi910","T7Hi","10B",0.09,3.1e-08,1.8e-06
"8st-910evo","8st-910evo","8st","phi910","T7Hi","10A",0.095,5.9e-08,1.8e-06
"8st-910evo","8st-910evo","8st","phi910","T7Hi","17",-0.016,6.4e-07,1.3e-05
"8st-910evo","8st-910evo","8st","phi910","T7Hi","9",0.036,5.8e-06,8.7e-05
"8st-910evo","8st-910evo","8st","phi910","T7Hi","6.5",-0.014,2e-05,0.00023
"8st-910evo","8st-910evo","8st","phi910","T7Hi","11",0.008,2.3e-05,0.00023
"8st-910evo","8st-910evo","8st","phi910","T7Hi","18",-0.0089,3.3e-05,0.00029
"8st-910evo","8st-910evo","8st","phi910","T7Hi","12",0.0057,5.1e-05,0.00038
"8st-910evo","8st-910evo","8st","phi910","T7Hi","1.2",-0.0043,0.00024,0.0013
"8st-910evo","8st-910evo","8st","phi910","T7Hi","6.7",-0.014,0.00021,0.0013
"8st-910evo","8st-910evo","8st","phi910","T7Hi","7",-0.017,0.00023,0.0013
"8st-910evo","8st-910evo","8st","phi910","T7Hi","1.1",-0.0065,0.00029,0.0013
"8st-910evo","8st-910evo","8st","phi910","T7Hi","17.5",-0.011,0.00028,0.0013
"8st-910evo","8st-910evo","8st","phi910","T7Hi","7.3",-0.021,0.00038,0.0016
"8st-910evo","8st-910evo","8st","phi910","T7Hi","8",0.0098,0.00065,0.0026
"8st-910evo","8st-910evo","8st","phi910","T7Hi","19.2",-0.013,0.00081,0.003
"8st-910evo","8st-910evo","8st","phi910","T7Hi","0.7",-0.00019,0.0018,0.0061
"8st-910evo","8st-910evo","8st","phi910","T7Hi","19.3",-0.013,0.0018,0.0061
"8st-910evo","8st-910evo","8st","phi910","T7Hi","0.3",-0.00038,0.0022,0.0063
"8st-910evo","8st-910evo","8st","phi910","T7Hi","1.3",-0.0033,0.0021,0.0063
"8st-910evo","8st-910evo","8st","phi910","T7Hi","18.7",-0.013,0.0021,0.0063
"8st-910evo","8st-910evo","8st","phi910","T7Hi","19",-0.0095,0.0049,0.013
"8st-910evo","8st-910evo","8st","phi910","T7Hi","1",-0.00059,0.0081,0.021
"8st-910evo","8st-910evo","8st","phi910","T7Hi","18.5",-0.015,0.011,0.027
"8st-910evo","8st-910evo","8st","phi910","T7Hi","16",-0.0028,0.019,0.045
"8st-910evo","8st-910evo","8st","phi910","T7Hi","7.7",-0.0089,0.021,0.047
"8st-910evo","8st-910evo","8st","phi910","T7Hi","1.5",-0.0055,0.039,0.086
"8st-910evo","8st-910evo","8st","phi910","T7Hi","3.5",-0.0062,0.045,0.097
"8st-910evo","8st-910evo","8st","phi910","T7Hi","2",0.0036,0.05,0.1
"8st-910evo","8st-910evo","8st","phi910","T7Hi","1.6",-0.0023,0.06,0.12
"8st-910evo","8st-910evo","8st","phi910","T7Hi","14",-0.0017,0.066,0.12
"8st-910evo","8st-910evo","8st","phi910","T7Hi","15",-0.002,0.064,0.12
"8st-910evo","8st-910evo","8st","phi910","T7Hi","19.5",-0.024,0.1,0.18
"8st-910evo","8st-910evo","8st","phi910","T7Hi","0.4",1.5e-06,0.11,0.19
"8st-910evo","8st-910evo","8st","phi910","T7Hi","1.4",-0.0011,0.11,0.19
"8st-910evo","8st-910evo","8st","phi910","T7Hi","13",-0.0013,0.13,0.22
"8st-910evo","8st-910evo","8st","phi910","T7Hi","5.5-5.7",-0.0014,0.15,0.24
"8st-910evo","8st-910evo","8st","phi910","T7Hi","5.7",-0.0019,0.17,0.28
"8st-910evo","8st-910evo","8st","phi910","T7Hi","5.5",-0.0014,0.18,0.28
"8st-910evo","8st-910evo","8st","phi910","T7Hi","4.7",-0.00045,0.2,0.3
"8st-910evo","8st-910evo","8st","phi910","T7Hi","6.3",-0.0029,0.22,0.32
"8st-910evo","8st-910evo","8st","phi910","T7Hi","5",-0.00047,0.29,0.4
"8st-910evo","8st-910evo","8st","phi910","T7Hi","5.3",-0.0011,0.29,0.4
"8st-910evo","8st-910evo","8st","phi910","T7Hi","6",-0.0013,0.29,0.4
"8st-910evo","8st-910evo","8st","phi910","T7Hi","0.5",6.4e-07,0.31,0.41
"8st-910evo","8st-910evo","8st","phi910","T7Hi","5.9",-0.0018,0.31,0.41
"8st-910evo","8st-910evo","8st","phi910","T7Hi","3.8",-0.00023,0.33,0.43
"8st-910evo","8st-910evo","8st","phi910","T7Hi","2.5",0.0019,0.37,0.46
"8st-910evo","8st-910evo","8st","phi910","T7Hi","0.6B",2.4e-07,0.52,0.64
"8st-910evo","8st-910evo","8st","phi910","T7Hi","4.1",-0.00037,0.54,0.65
"8st-910evo","8st-910evo","8st","phi910","T7Hi","2.8",0.00093,0.66,0.78
"8st-910evo","8st-910evo","8st","phi910","T7Hi","1.7",-0.00055,0.7,0.79
"8st-910evo","8st-910evo","8st","phi910","T7Hi","1.8",0.001,0.71,0.79
"8st-910evo","8st-910evo","8st","phi910","T7Hi","3",-0.0016,0.71,0.79
"8st-910evo","8st-910evo","8st","phi910","T7Hi","4A",-0.00011,0.82,0.86
"8st-910evo","8st-910evo","8st","phi910","T7Hi","4B",-0.00011,0.82,0.86
"8st-910evo","8st-910evo","8st","phi910","T7Hi","4.3",-0.00058,0.8,0.86
"8st-910evo","8st-910evo","8st","phi910","T7Hi","4.2",-0.00019,0.85,0.88
"8st-910evo","8st-910evo","8st","phi910","T7Hi","4.5",0.00027,0.88,0.9
"8st-910evo","8st-910evo","8st","phi910","T7Hi","0.6A",-4.3e-08,0.9,0.9
"8st-910evo","8st-910evo","8st","phi910","8st-910","10A",-0.016,4e-05,0.0024
"8st-910evo","8st-910evo","8st","phi910","8st-910","10B",-0.015,8.4e-05,0.0025
"8st-910evo","8st-910evo","8st","phi910","8st-910","2",0.016,0.00021,0.0035
"8st-910evo","8st-910evo","8st","phi910","8st-910","7.3",-0.021,0.00041,0.0035
"8st-910evo","8st-910evo","8st","phi910","8st-910","8",-0.0057,0.00038,0.0035
"8st-910evo","8st-910evo","8st","phi910","8st-910","14",-0.0062,0.00037,0.0035
"8st-910evo","8st-910evo","8st","phi910","8st-910","15",-0.0063,0.00031,0.0035
"8st-910evo","8st-910evo","8st","phi910","8st-910","1.6",0.0069,0.00077,0.0041
"8st-910evo","8st-910evo","8st","phi910","8st-910","1.7",0.01,0.00078,0.0041
"8st-910evo","8st-910evo","8st","phi910","8st-910","1.8",0.018,0.00091,0.0041
"8st-910evo","8st-910evo","8st","phi910","8st-910","4.3",0.021,0.001,0.0041
"8st-910evo","8st-910evo","8st","phi910","8st-910","5.5-5.7",0.0051,0.00098,0.0041
"8st-910evo","8st-910evo","8st","phi910","8st-910","5.5",0.0058,0.00085,0.0041
"8st-910evo","8st-910evo","8st","phi910","8st-910","7",-0.016,0.00083,0.0041
"8st-910evo","8st-910evo","8st","phi910","8st-910","16",-0.0057,0.00059,0.0041
"8st-910evo","8st-910evo","8st","phi910","8st-910","2.5",0.013,0.0012,0.0043
"8st-910evo","8st-910evo","8st","phi910","8st-910","4.2",0.0098,0.0014,0.0043
"8st-910evo","8st-910evo","8st","phi910","8st-910","5.7",0.007,0.0013,0.0043
"8st-910evo","8st-910evo","8st","phi910","8st-910","6",0.0056,0.0013,0.0043
"8st-910evo","8st-910evo","8st","phi910","8st-910","12",-0.0011,0.0014,0.0043
"8st-910evo","8st-910evo","8st","phi910","8st-910","2.8",0.0099,0.0022,0.0063
"8st-910evo","8st-910evo","8st","phi910","8st-910","5",0.0034,0.0025,0.0067
"8st-910evo","8st-910evo","8st","phi910","8st-910","3.8",0.0029,0.0045,0.0087
"8st-910evo","8st-910evo","8st","phi910","8st-910","4A",0.0051,0.0039,0.0087
"8st-910evo","8st-910evo","8st","phi910","8st-910","4.1",0.007,0.0043,0.0087
"8st-910evo","8st-910evo","8st","phi910","8st-910","4B",0.0053,0.004,0.0087
"8st-910evo","8st-910evo","8st","phi910","8st-910","5.3",0.0054,0.004,0.0087
"8st-910evo","8st-910evo","8st","phi910","8st-910","5.9",0.0072,0.0044,0.0087
"8st-910evo","8st-910evo","8st","phi910","8st-910","6.7",-0.011,0.0041,0.0087
"8st-910evo","8st-910evo","8st","phi910","8st-910","9",-0.0074,0.0043,0.0087
"8st-910evo","8st-910evo","8st","phi910","8st-910","13",-0.0037,0.0034,0.0087
"8st-910evo","8st-910evo","8st","phi910","8st-910","7.7",-0.016,0.0055,0.01
"8st-910evo","8st-910evo","8st","phi910","8st-910","6.5",-0.012,0.0063,0.011
"8st-910evo","8st-910evo","8st","phi910","8st-910","11",-0.0017,0.0071,0.012
"8st-910evo","8st-910evo","8st","phi910","8st-910","18.7",-0.0061,0.0084,0.014
"8st-910evo","8st-910evo","8st","phi910","8st-910","4.7",0.0029,0.01,0.017
"8st-910evo","8st-910evo","8st","phi910","8st-910","19.3",-0.0069,0.012,0.019
"8st-910evo","8st-910evo","8st","phi910","8st-910","4.5",0.015,0.016,0.025
"8st-910evo","8st-910evo","8st","phi910","8st-910","6.3",0.0088,0.016,0.025
"8st-910evo","8st-910evo","8st","phi910","8st-910","18.5",-0.0091,0.017,0.026
"8st-910evo","8st-910evo","8st","phi910","8st-910","19",-0.0051,0.021,0.03
"8st-910evo","8st-910evo","8st","phi910","8st-910","17",-0.0069,0.026,0.037
"8st-910evo","8st-910evo","8st","phi910","8st-910","3.5",0.0058,0.033,0.046
"8st-910evo","8st-910evo","8st","phi910","8st-910","19.2",-0.0053,0.055,0.075
"8st-910evo","8st-910evo","8st","phi910","8st-910","3",0.01,0.07,0.094
"8st-910evo","8st-910evo","8st","phi910","8st-910","0.3",0.00033,0.073,0.095
"8st-910evo","8st-910evo","8st","phi910","8st-910","1.3",0.0012,0.081,0.1
"8st-910evo","8st-910evo","8st","phi910","8st-910","0.7",0.00016,0.085,0.1
"8st-910evo","8st-910evo","8st","phi910","8st-910","1",-3e-04,0.084,0.1
"8st-910evo","8st-910evo","8st","phi910","8st-910","19.5",-0.026,0.086,0.1
"8st-910evo","8st-910evo","8st","phi910","8st-910","1.5",0.0036,0.12,0.14
"8st-910evo","8st-910evo","8st","phi910","8st-910","1.4",0.0015,0.13,0.15
"8st-910evo","8st-910evo","8st","phi910","8st-910","0.4",7.8e-07,0.24,0.27
"8st-910evo","8st-910evo","8st","phi910","8st-910","1.1",-0.0013,0.25,0.28
"8st-910evo","8st-910evo","8st","phi910","8st-910","0.5",9.8e-07,0.26,0.28
"8st-910evo","8st-910evo","8st","phi910","8st-910","0.6A",5.4e-07,0.39,0.42
"8st-910evo","8st-910evo","8st","phi910","8st-910","0.6B",3.5e-07,0.4,0.42
"8st-910evo","8st-910evo","8st","phi910","8st-910","1.2",5e-04,0.45,0.46
"8st-910evo","8st-910evo","8st","phi910","8st-910","17.5",-0.002,0.46,0.47
"8st-910evo","8st-910evo","8st","phi910","8st-910","18",-0.0018,0.47,0.47
"910L2evo","910L2evo","wt","phi910","T7Hi","18.5",-0.02,2.6e-09,1.5e-07
"910L2evo","910L2evo","wt","phi910","T7Hi","10B",0.093,7.5e-09,2.3e-07
"910L2evo","910L2evo","wt","phi910","T7Hi","10A",0.098,1.4e-08,2.7e-07
"910L2evo","910L2evo","wt","phi910","T7Hi","19.3",-0.022,2.2e-07,3.3e-06
"910L2evo","910L2evo","wt","phi910","T7Hi","1",-0.0012,6.8e-07,8.1e-06
"910L2evo","910L2evo","wt","phi910","T7Hi","18.7",-0.02,3.4e-06,3.4e-05
"910L2evo","910L2evo","wt","phi910","T7Hi","9",0.038,5.5e-06,4.7e-05
"910L2evo","910L2evo","wt","phi910","T7Hi","11",0.0089,7.9e-06,5.9e-05
"910L2evo","910L2evo","wt","phi910","T7Hi","17",-0.016,1.1e-05,7.3e-05
"910L2evo","910L2evo","wt","phi910","T7Hi","17.5",-0.0086,1.5e-05,8.9e-05
"910L2evo","910L2evo","wt","phi910","T7Hi","12",0.0058,3.2e-05,0.00017
"910L2evo","910L2evo","wt","phi910","T7Hi","8",0.014,4.7e-05,0.00023
"910L2evo","910L2evo","wt","phi910","T7Hi","13",-0.0043,5.1e-05,0.00023
"910L2evo","910L2evo","wt","phi910","T7Hi","19",-0.015,6.6e-05,0.00028
"910L2evo","910L2evo","wt","phi910","T7Hi","18",-0.013,0.00012,5e-04
"910L2evo","910L2evo","wt","phi910","T7Hi","0.7",-0.00032,0.00016,0.00059
"910L2evo","910L2evo","wt","phi910","T7Hi","0.3",-0.00067,4e-04,0.0014
"910L2evo","910L2evo","wt","phi910","T7Hi","15",-0.0072,0.00076,0.0025
"910L2evo","910L2evo","wt","phi910","T7Hi","1.3",-0.0023,0.0011,0.0035
"910L2evo","910L2evo","wt","phi910","T7Hi","1.6",-0.0045,0.0022,0.0063
"910L2evo","910L2evo","wt","phi910","T7Hi","19.5",-0.038,0.0022,0.0063
"910L2evo","910L2evo","wt","phi910","T7Hi","16",-0.0072,0.0029,0.0075
"910L2evo","910L2evo","wt","phi910","T7Hi","19.2",-0.02,0.0028,0.0075
"910L2evo","910L2evo","wt","phi910","T7Hi","14",-0.0073,0.0032,0.0081
"910L2evo","910L2evo","wt","phi910","T7Hi","6.5",-0.0065,0.0046,0.011
"910L2evo","910L2evo","wt","phi910","T7Hi","1.5",-0.0059,0.0051,0.012
"910L2evo","910L2evo","wt","phi910","T7Hi","1.2",-0.0026,0.015,0.034
"910L2evo","910L2evo","wt","phi910","T7Hi","7",-0.0061,0.017,0.037
"910L2evo","910L2evo","wt","phi910","T7Hi","6.7",-0.0046,0.02,0.041
"910L2evo","910L2evo","wt","phi910","T7Hi","1.1",-0.0045,0.024,0.049
"910L2evo","910L2evo","wt","phi910","T7Hi","5.5",-0.0019,0.051,0.098
"910L2evo","910L2evo","wt","phi910","T7Hi","7.3",-0.006,0.052,0.098
"910L2evo","910L2evo","wt","phi910","T7Hi","1.4",-0.0016,0.084,0.15
"910L2evo","910L2evo","wt","phi910","T7Hi","2",-0.0031,0.086,0.15
"910L2evo","910L2evo","wt","phi910","T7Hi","1.7",-0.0023,0.097,0.17
"910L2evo","910L2evo","wt","phi910","T7Hi","4.7",-0.00058,0.11,0.18
"910L2evo","910L2evo","wt","phi910","T7Hi","6.3",-0.0039,0.11,0.18
"910L2evo","910L2evo","wt","phi910","T7Hi","5.5-5.7",-0.0013,0.13,0.2
"910L2evo","910L2evo","wt","phi910","T7Hi","3",0.005,0.15,0.23
"910L2evo","910L2evo","wt","phi910","T7Hi","0.4",1.2e-06,0.17,0.26
"910L2evo","910L2evo","wt","phi910","T7Hi","7.7",-0.0028,0.26,0.38
"910L2evo","910L2evo","wt","phi910","T7Hi","1.8",-0.0025,0.28,0.39
"910L2evo","910L2evo","wt","phi910","T7Hi","3.5",-0.0025,0.31,0.43
"910L2evo","910L2evo","wt","phi910","T7Hi","0.6B",3.4e-07,0.32,0.44
"910L2evo","910L2evo","wt","phi910","T7Hi","5.7",-0.00097,0.36,0.48
"910L2evo","910L2evo","wt","phi910","T7Hi","4.2",0.00075,0.41,0.54
"910L2evo","910L2evo","wt","phi910","T7Hi","2.8",0.0012,0.51,0.64
"910L2evo","910L2evo","wt","phi910","T7Hi","4A",0.00028,0.53,0.64
"910L2evo","910L2evo","wt","phi910","T7Hi","4B",3e-04,0.52,0.64
"910L2evo","910L2evo","wt","phi910","T7Hi","4.3",0.0013,0.53,0.64
"910L2evo","910L2evo","wt","phi910","T7Hi","6",-0.00058,0.54,0.64
"910L2evo","910L2evo","wt","phi910","T7Hi","5.3",-0.00029,0.6,0.69
"910L2evo","910L2evo","wt","phi910","T7Hi","4.5",0.00091,0.61,0.69
"910L2evo","910L2evo","wt","phi910","T7Hi","0.6A",1e-07,0.64,0.7
"910L2evo","910L2evo","wt","phi910","T7Hi","5",-0.00017,0.64,0.7
"910L2evo","910L2evo","wt","phi910","T7Hi","0.5",2.2e-07,0.74,0.79
"910L2evo","910L2evo","wt","phi910","T7Hi","4.1",0.00013,0.82,0.86
"910L2evo","910L2evo","wt","phi910","T7Hi","5.9",0.00022,0.85,0.88
"910L2evo","910L2evo","wt","phi910","T7Hi","2.5",0.00028,0.89,0.91
"910L2evo","910L2evo","wt","phi910","T7Hi","3.8",-5.3e-06,0.98,0.98
"910L2evo","910L2evo","wt","phi910","phi910v2","18.5",-0.016,1.1e-06,6.6e-05
"910L2evo","910L2evo","wt","phi910","phi910v2","19.3",-0.015,5.7e-06,0.00017
"910L2evo","910L2evo","wt","phi910","phi910v2","5.7",0.011,1.4e-05,0.00028
"910L2evo","910L2evo","wt","phi910","phi910v2","0.3",0.0021,3.4e-05,0.00044
"910L2evo","910L2evo","wt","phi910","phi910v2","17.5",-0.0083,3.7e-05,0.00044
"910L2evo","910L2evo","wt","phi910","phi910v2","13",-0.0068,6.9e-05,0.00059
"910L2evo","910L2evo","wt","phi910","phi910v2","18.7",-0.014,6.5e-05,0.00059
"910L2evo","910L2evo","wt","phi910","phi910v2","6",0.0095,9.8e-05,0.00073
"910L2evo","910L2evo","wt","phi910","phi910v2","5.5-5.7",0.0071,0.00012,0.00081
"910L2evo","910L2evo","wt","phi910","phi910v2","5.9",0.012,0.00024,0.0014
"910L2evo","910L2evo","wt","phi910","phi910v2","17",-0.0094,0.00032,0.0016
"910L2evo","910L2evo","wt","phi910","phi910v2","19",-0.01,0.00032,0.0016
"910L2evo","910L2evo","wt","phi910","phi910v2","0.7",0.001,0.00054,0.0025
"910L2evo","910L2evo","wt","phi910","phi910v2","7.7",-0.012,0.00058,0.0025
"910L2evo","910L2evo","wt","phi910","phi910v2","5.5",0.0075,0.00063,0.0025
"910L2evo","910L2evo","wt","phi910","phi910v2","3.5",0.011,0.00078,0.0028
"910L2evo","910L2evo","wt","phi910","phi910v2","18",-0.011,0.00078,0.0028
"910L2evo","910L2evo","wt","phi910","phi910v2","9",-0.0054,0.0011,0.0036
"910L2evo","910L2evo","wt","phi910","phi910v2","15",-0.011,0.0013,0.004
"910L2evo","910L2evo","wt","phi910","phi910v2","5.3",0.0051,0.0017,0.0051
"910L2evo","910L2evo","wt","phi910","phi910v2","14",-0.011,0.0019,0.0054
"910L2evo","910L2evo","wt","phi910","phi910v2","6.3",0.013,0.0026,0.0071
"910L2evo","910L2evo","wt","phi910","phi910v2","16",-0.0087,0.006,0.016
"910L2evo","910L2evo","wt","phi910","phi910v2","4.3",0.018,0.0071,0.018
"910L2evo","910L2evo","wt","phi910","phi910v2","4.2",0.0055,0.0076,0.018
"910L2evo","910L2evo","wt","phi910","phi910v2","10B",-0.01,0.0082,0.019
"910L2evo","910L2evo","wt","phi910","phi910v2","10A",-0.01,0.01,0.023
"910L2evo","910L2evo","wt","phi910","phi910v2","1.2",0.004,0.012,0.025
"910L2evo","910L2evo","wt","phi910","phi910v2","2.8",0.0045,0.013,0.027
"910L2evo","910L2evo","wt","phi910","phi910v2","19.2",-0.012,0.014,0.029
"910L2evo","910L2evo","wt","phi910","phi910v2","1.7",0.0085,0.019,0.035
"910L2evo","910L2evo","wt","phi910","phi910v2","4A",0.0023,0.019,0.035
"910L2evo","910L2evo","wt","phi910","phi910v2","4B",0.0024,0.018,0.035
"910L2evo","910L2evo","wt","phi910","phi910v2","1.8",0.013,0.021,0.038
"910L2evo","910L2evo","wt","phi910","phi910v2","3",0.011,0.024,0.041
"910L2evo","910L2evo","wt","phi910","phi910v2","4.5",0.015,0.025,0.041
"910L2evo","910L2evo","wt","phi910","phi910v2","1.6",0.0054,0.031,0.05
"910L2evo","910L2evo","wt","phi910","phi910v2","4.1",0.0025,0.034,0.054
"910L2evo","910L2evo","wt","phi910","phi910v2","2",0.0084,0.042,0.064
"910L2evo","910L2evo","wt","phi910","phi910v2","2.5",0.0066,0.051,0.076
"910L2evo","910L2evo","wt","phi910","phi910v2","8",-0.0029,0.06,0.087
"910L2evo","910L2evo","wt","phi910","phi910v2","3.8",0.00077,0.062,0.089
"910L2evo","910L2evo","wt","phi910","phi910v2","5",0.00091,0.072,0.1
"910L2evo","910L2evo","wt","phi910","phi910v2","1.3",0.00089,0.084,0.11
"910L2evo","910L2evo","wt","phi910","phi910v2","1.5",0.0053,0.085,0.11
"910L2evo","910L2evo","wt","phi910","phi910v2","7",-0.0058,0.13,0.16
"910L2evo","910L2evo","wt","phi910","phi910v2","7.3",-0.0065,0.12,0.16
"910L2evo","910L2evo","wt","phi910","phi910v2","4.7",0.00073,0.16,0.2
"910L2evo","910L2evo","wt","phi910","phi910v2","6.5",-0.005,0.16,0.2
"910L2evo","910L2evo","wt","phi910","phi910v2","1.1",0.0025,0.25,0.3
"910L2evo","910L2evo","wt","phi910","phi910v2","0.6B",1.3e-07,0.27,0.32
"910L2evo","910L2evo","wt","phi910","phi910v2","0.5",-3.2e-07,0.39,0.45
"910L2evo","910L2evo","wt","phi910","phi910v2","1.4",0.00065,0.45,0.51
"910L2evo","910L2evo","wt","phi910","phi910v2","6.7",-0.0019,0.55,0.61
