"strain","treatment","background","knockout","Sample","rep","ref_genome","start","stop","locus_tag","gene","counts"
"T7Hi","wt","wt","wt","PA62","1","T7Hi",13583,13853,"T7p27","4.5",29455
"T7Hi","wt","wt","wt","PA62","1","T7Hi",13926,14334,"T7p28","4.7",19548
"T7Hi","wt","wt","wt","PA62","1","T7Hi",14352,16467,"T7p29","5",122296
"T7Hi","wt","wt","wt","PA62","1","T7Hi",16482,16839,"T7p30","5.3",27648
"T7Hi","wt","wt","wt","PA62","1","T7Hi",16850,17359,"T7p31","5.5-5.7",56297
"T7Hi","wt","wt","wt","PA62","1","T7Hi",16850,17150,"T7p32","5.5",38251
"T7Hi","wt","wt","wt","PA62","1","T7Hi",17149,17359,"T7p33","5.7",32789
"T7Hi","wt","wt","wt","PA62","1","T7Hi",17358,17517,"T7p34","5.9",25191
"T7Hi","wt","wt","wt","PA62","1","T7Hi",17503,18406,"T7p35","6",133289
"T7Hi","wt","wt","wt","PA62","1","T7Hi",18393,18507,"T7p36","6.3",28255
"T7Hi","wt","wt","wt","PA62","1","T7Hi",18604,18859,"T7p37","6.5",122924
"T7Hi","wt","wt","wt","PA62","1","T7Hi",18863,19130,"T7p38","6.7",180096
"T7Hi","wt","wt","wt","PA62","1","T7Hi",19129,19531,"T7p39","7",269123
"T7Hi","wt","wt","wt","PA62","1","T7Hi",19534,19834,"T7p40","7.3",215789
"T7Hi","wt","wt","wt","PA62","1","T7Hi",19847,20240,"T7p41","7.7",217616
"T7Hi","wt","wt","wt","PA62","1","T7Hi",20239,21850,"T7p42","8",751144
"T7Hi","wt","wt","wt","PA62","1","T7Hi",21949,22873,"T7p43","9",1221509
"T7Hi","wt","wt","wt","PA62","1","T7Hi",22966,24162,"T7p44","10B",2530828
"T7Hi","wt","wt","wt","PA62","1","T7Hi",22966,24004,"T7p45","10A",2230650
"T7Hi","wt","wt","wt","PA62","1","T7Hi",24227,24818,"T7p46","11",116709
"T7Hi","wt","wt","wt","PA62","1","T7Hi",24841,27226,"T7p47","12",443181
"T7Hi","wt","wt","wt","PA62","1","T7Hi",27306,27723,"T7p48","13",82702
"T7Hi","wt","wt","wt","PA62","1","T7Hi",27727,28318,"T7p49","14",211502
"T7Hi","wt","wt","wt","PA62","1","T7Hi",28324,30568,"T7p50","15",632614
"T7Hi","wt","wt","wt","PA62","1","T7Hi",30594,34551,"T7p51","16",719533
"T7Hi","wt","wt","wt","PA62","1","T7Hi",34623,36285,"T7p52","17",609616
"T7Hi","wt","wt","wt","PA62","1","T7Hi",36343,36547,"T7p53","17.5",76216
"T7Hi","wt","wt","wt","PA62","1","T7Hi",36552,36822,"T7p54","18",98020
"T7Hi","wt","wt","wt","PA62","1","T7Hi",36916,37348,"T7p55","18.5",90701
"T7Hi","wt","wt","wt","PA62","1","T7Hi",37031,37283,"T7p56","18.7",63926
"T7Hi","wt","wt","wt","PA62","1","T7Hi",37369,39130,"T7p57","19",316807
"T7Hi","wt","wt","wt","PA62","1","T7Hi",38015,38273,"T7p58","19.2",56516
"T7Hi","wt","wt","wt","PA62","1","T7Hi",38552,38726,"T7p59","19.3",48656
"T7Hi","wt","wt","wt","PA62","1","T7Hi",39388,39538,"T7p60","19.5",111182
"T7Hi","wt","wt","wt","PA117","2","T7Hi",890,1468,"T7p01","0.3",11734
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1277,1433,"T7p02","0.4",1
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1468,3138,"T7p03","0.7",15154
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1495,1639,"T7p04","0.5",0
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1635,1972,"T7p05","0.6B",2
"T7Hi","wt","wt","wt","PA117","2","T7Hi",1635,1797,"T7p06","0.6A",0
"T7Hi","wt","wt","wt","PA117","2","T7Hi",3138,5887,"T7p07","1",63809
"T7Hi","wt","wt","wt","PA117","2","T7Hi",5887,6448,"T7p08","1.2",102306
