"strain","treatment","background","knockout","Sample","rep","ref_genome","start","stop","locus_tag","gene","counts"
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",34623,36285,"T7p52","17",1492247
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",36343,36547,"T7p53","17.5",151453
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",36552,36822,"T7p54","18",156040
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",36916,37348,"T7p55","18.5",215392
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",37031,37283,"T7p56","18.7",128826
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",37369,39130,"T7p57","19",828909
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",38015,38273,"T7p58","19.2",186498
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",38552,38726,"T7p59","19.3",120223
"phi910v2","wt-910","wt","phi910","PA155","5","T7Hi",39388,39538,"T7p60","19.5",251050
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",890,1468,"T7p01","0.3",44170
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",1277,1433,"T7p02","0.4",3
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",1468,3138,"T7p03","0.7",57987
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",1495,1639,"T7p04","0.5",0
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",1635,1972,"T7p05","0.6B",4
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",1635,1797,"T7p06","0.6A",1
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",3138,5887,"T7p07","1",126921
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",5887,6448,"T7p08","1.2",135127
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",6006,6135,"T7p09","1.1",31086
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",6448,7588,"T7p10","1.3",231768
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",7607,7763,"T7p11","1.4",13614
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",7790,7880,"T7p12","1.5",40930
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",7905,8166,"T7p13","1.6",101699
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",8165,8756,"T7p14","1.7",280827
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",8748,8895,"T7p15","1.8",96014
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",8897,9092,"T7p16","2",88255
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",9157,9856,"T7p17","2.5",243856
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",9856,10276,"T7p18","2.8",134158
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",10256,10706,"T7p19","3",343842
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",10705,11161,"T7p20","3.5",350296
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",11224,11590,"T7p21","3.8",10425
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",11564,13265,"T7p22","4A",83992
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",11634,11757,"T7p23","4.1",7763
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",11753,13265,"T7p24","4B",78125
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",12987,13326,"T7p25","4.2",49269
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",13351,13564,"T7p26","4.3",100526
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",13583,13853,"T7p27","4.5",57480
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",13926,14334,"T7p28","4.7",18361
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",14352,16467,"T7p29","5",120860
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",16482,16839,"T7p30","5.3",83933
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",16850,17359,"T7p31","5.5-5.7",113581
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",16850,17150,"T7p32","5.5",71490
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",17149,17359,"T7p33","5.7",70340
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",17358,17517,"T7p34","5.9",56852
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",17503,18406,"T7p35","6",273796
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",18393,18507,"T7p36","6.3",40515
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",18604,18859,"T7p37","6.5",167439
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",18863,19130,"T7p38","6.7",191165
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",19129,19531,"T7p39","7",311813
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",19534,19834,"T7p40","7.3",268397
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",19847,20240,"T7p41","7.7",195746
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",20239,21850,"T7p42","8",475889
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",21949,22873,"T7p43","9",245243
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",22966,24162,"T7p44","10B",478821
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",22966,24004,"T7p45","10A",450557
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",24227,24818,"T7p46","11",53014
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",24841,27226,"T7p47","12",197729
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",27306,27723,"T7p48","13",59721
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",27727,28318,"T7p49","14",167591
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",28324,30568,"T7p50","15",469019
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",30594,34551,"T7p51","16",660028
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",34623,36285,"T7p52","17",919896
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",36343,36547,"T7p53","17.5",73894
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",36552,36822,"T7p54","18",86851
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",36916,37348,"T7p55","18.5",161851
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",37031,37283,"T7p56","18.7",85371
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",37369,39130,"T7p57","19",519638
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",38015,38273,"T7p58","19.2",125675
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",38552,38726,"T7p59","19.3",76157
"phi910v2","wt-910","wt","phi910","PA164","6","T7Hi",39388,39538,"T7p60","19.5",134454
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",890,1468,"T7p01","0.3",64209
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",1277,1433,"T7p02","0.4",1
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",1468,3138,"T7p03","0.7",84849
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",1495,1639,"T7p04","0.5",2
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",1635,1972,"T7p05","0.6B",0
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",1635,1797,"T7p06","0.6A",0
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",3138,5887,"T7p07","1",253427
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",5887,6448,"T7p08","1.2",182125
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",6006,6135,"T7p09","1.1",52706
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",6448,7588,"T7p10","1.3",324892
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",7607,7763,"T7p11","1.4",26205
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",7790,7880,"T7p12","1.5",61668
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",7905,8166,"T7p13","1.6",142413
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",8165,8756,"T7p14","1.7",341230
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",8748,8895,"T7p15","1.8",127682
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",8897,9092,"T7p16","2",133713
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",9157,9856,"T7p17","2.5",396724
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",9856,10276,"T7p18","2.8",231028
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",10256,10706,"T7p19","3",332504
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",10705,11161,"T7p20","3.5",457763
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",11224,11590,"T7p21","3.8",20961
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",11564,13265,"T7p22","4A",196344
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",11634,11757,"T7p23","4.1",19245
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",11753,13265,"T7p24","4B",182754
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",12987,13326,"T7p25","4.2",79757
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",13351,13564,"T7p26","4.3",132192
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",13583,13853,"T7p27","4.5",129517
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",13926,14334,"T7p28","4.7",41441
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",14352,16467,"T7p29","5",218833
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",16482,16839,"T7p30","5.3",87312
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",16850,17359,"T7p31","5.5-5.7",174182
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",16850,17150,"T7p32","5.5",115134
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",17149,17359,"T7p33","5.7",98750
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",17358,17517,"T7p34","5.9",76974
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",17503,18406,"T7p35","6",368882
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",18393,18507,"T7p36","6.3",79343
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",18604,18859,"T7p37","6.5",239090
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",18863,19130,"T7p38","6.7",261780
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",19129,19531,"T7p39","7",394008
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",19534,19834,"T7p40","7.3",346184
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",19847,20240,"T7p41","7.7",319260
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",20239,21850,"T7p42","8",662401
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",21949,22873,"T7p43","9",343662
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",22966,24162,"T7p44","10B",684215
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",22966,24004,"T7p45","10A",633537
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",24227,24818,"T7p46","11",61068
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",24841,27226,"T7p47","12",209245
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",27306,27723,"T7p48","13",83405
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",27727,28318,"T7p49","14",226301
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",28324,30568,"T7p50","15",661067
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",30594,34551,"T7p51","16",884013
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",34623,36285,"T7p52","17",1211028
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",36343,36547,"T7p53","17.5",124081
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",36552,36822,"T7p54","18",134069
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",36916,37348,"T7p55","18.5",222527
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",37031,37283,"T7p56","18.7",131570
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",37369,39130,"T7p57","19",755282
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",38015,38273,"T7p58","19.2",167522
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",38552,38726,"T7p59","19.3",108730
"phi910v2","wt-910","wt","phi910","PA173","7","T7Hi",39388,39538,"T7p60","19.5",248831
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",890,1468,"T7p01","0.3",11431
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",1277,1433,"T7p02","0.4",0
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",1468,3138,"T7p03","0.7",14778
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",1495,1639,"T7p04","0.5",1
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",1635,1972,"T7p05","0.6B",1
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",1635,1797,"T7p06","0.6A",1
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",3138,5887,"T7p07","1",64233
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",5887,6448,"T7p08","1.2",115619
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",6006,6135,"T7p09","1.1",32206
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",6448,7588,"T7p10","1.3",191609
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",7607,7763,"T7p11","1.4",19393
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",7790,7880,"T7p12","1.5",30527
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",7905,8166,"T7p13","1.6",76770
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",8165,8756,"T7p14","1.7",178402
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",8748,8895,"T7p15","1.8",74405
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",8897,9092,"T7p16","2",76863
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",9157,9856,"T7p17","2.5",332587
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",9856,10276,"T7p18","2.8",204144
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",10256,10706,"T7p19","3",230817
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",10705,11161,"T7p20","3.5",356662
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",11224,11590,"T7p21","3.8",15008
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",11564,13265,"T7p22","4A",125867
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",11634,11757,"T7p23","4.1",12315
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",11753,13265,"T7p24","4B",116537
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",12987,13326,"T7p25","4.2",45254
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",13351,13564,"T7p26","4.3",69197
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",13583,13853,"T7p27","4.5",85138
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",13926,14334,"T7p28","4.7",34189
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",14352,16467,"T7p29","5",179641
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",16482,16839,"T7p30","5.3",51852
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",16850,17359,"T7p31","5.5-5.7",102299
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",16850,17150,"T7p32","5.5",71705
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",17149,17359,"T7p33","5.7",53717
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",17358,17517,"T7p34","5.9",39738
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",17503,18406,"T7p35","6",184512
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",18393,18507,"T7p36","6.3",50385
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",18604,18859,"T7p37","6.5",157392
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",18863,19130,"T7p38","6.7",171811
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",19129,19531,"T7p39","7",268003
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",19534,19834,"T7p40","7.3",247476
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",19847,20240,"T7p41","7.7",296415
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",20239,21850,"T7p42","8",876437
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",21949,22873,"T7p43","9",926148
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",22966,24162,"T7p44","10B",1641588
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",22966,24004,"T7p45","10A",1487166
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",24227,24818,"T7p46","11",82379
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",24841,27226,"T7p47","12",275025
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",27306,27723,"T7p48","13",67584
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",27727,28318,"T7p49","14",175657
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",28324,30568,"T7p50","15",498561
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",30594,34551,"T7p51","16",612704
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",34623,36285,"T7p52","17",766675
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",36343,36547,"T7p53","17.5",97788
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",36552,36822,"T7p54","18",117277
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",36916,37348,"T7p55","18.5",117263
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",37031,37283,"T7p56","18.7",77081
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",37369,39130,"T7p57","19",368867
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",38015,38273,"T7p58","19.2",70487
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",38552,38726,"T7p59","19.3",53317
"phi10","wt-10","wt","phi10","PA119","2","T7Hi",39388,39538,"T7p60","19.5",110068
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",890,1468,"T7p01","0.3",7446
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",1277,1433,"T7p02","0.4",1
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",1468,3138,"T7p03","0.7",12276
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",1495,1639,"T7p04","0.5",1
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",1635,1972,"T7p05","0.6B",0
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",1635,1797,"T7p06","0.6A",0
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",3138,5887,"T7p07","1",35522
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",5887,6448,"T7p08","1.2",57958
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",6006,6135,"T7p09","1.1",14142
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",6448,7588,"T7p10","1.3",120240
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",7607,7763,"T7p11","1.4",8571
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",7790,7880,"T7p12","1.5",15076
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",7905,8166,"T7p13","1.6",38528
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",8165,8756,"T7p14","1.7",100111
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",8748,8895,"T7p15","1.8",35558
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",8897,9092,"T7p16","2",36636
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",9157,9856,"T7p17","2.5",140147
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",9856,10276,"T7p18","2.8",85333
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",10256,10706,"T7p19","3",111328
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",10705,11161,"T7p20","3.5",164374
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",11224,11590,"T7p21","3.8",6278
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",11564,13265,"T7p22","4A",60729
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",11634,11757,"T7p23","4.1",5881
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",11753,13265,"T7p24","4B",55986
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",12987,13326,"T7p25","4.2",28337
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",13351,13564,"T7p26","4.3",38616
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",13583,13853,"T7p27","4.5",31989
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",13926,14334,"T7p28","4.7",10074
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",14352,16467,"T7p29","5",67480
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",16482,16839,"T7p30","5.3",22344
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",16850,17359,"T7p31","5.5-5.7",37781
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",16850,17150,"T7p32","5.5",26598
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",17149,17359,"T7p33","5.7",21244
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",17358,17517,"T7p34","5.9",19024
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",17503,18406,"T7p35","6",98250
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",18393,18507,"T7p36","6.3",18362
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",18604,18859,"T7p37","6.5",75190
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",18863,19130,"T7p38","6.7",99388
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",19129,19531,"T7p39","7",126657
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",19534,19834,"T7p40","7.3",120913
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",19847,20240,"T7p41","7.7",108483
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",20239,21850,"T7p42","8",412536
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",21949,22873,"T7p43","9",384728
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",22966,24162,"T7p44","10B",768344
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",22966,24004,"T7p45","10A",693303
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",24227,24818,"T7p46","11",37888
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",24841,27226,"T7p47","12",131209
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",27306,27723,"T7p48","13",31660
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",27727,28318,"T7p49","14",92206
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",28324,30568,"T7p50","15",256306
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",30594,34551,"T7p51","16",314618
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",34623,36285,"T7p52","17",463982
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",36343,36547,"T7p53","17.5",48421
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",36552,36822,"T7p54","18",61731
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",36916,37348,"T7p55","18.5",54838
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",37031,37283,"T7p56","18.7",36401
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",37369,39130,"T7p57","19",205020
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",38015,38273,"T7p58","19.2",50839
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",38552,38726,"T7p59","19.3",30519
"phi10","wt-10","wt","phi10","PA135","3","T7Hi",39388,39538,"T7p60","19.5",49196
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",890,1468,"T7p01","0.3",10086
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",1277,1433,"T7p02","0.4",1
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",1468,3138,"T7p03","0.7",14695
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",1495,1639,"T7p04","0.5",0
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",1635,1972,"T7p05","0.6B",0
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",1635,1797,"T7p06","0.6A",0
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",3138,5887,"T7p07","1",61257
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",5887,6448,"T7p08","1.2",77924
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",6006,6135,"T7p09","1.1",15332
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",6448,7588,"T7p10","1.3",184462
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",7607,7763,"T7p11","1.4",10169
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",7790,7880,"T7p12","1.5",17936
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",7905,8166,"T7p13","1.6",43304
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",8165,8756,"T7p14","1.7",100040
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",8748,8895,"T7p15","1.8",36344
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",8897,9092,"T7p16","2",34026
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",9157,9856,"T7p17","2.5",120614
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",9856,10276,"T7p18","2.8",105099
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",10256,10706,"T7p19","3",128175
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",10705,11161,"T7p20","3.5",226092
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",11224,11590,"T7p21","3.8",3410
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",11564,13265,"T7p22","4A",34604
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",11634,11757,"T7p23","4.1",3055
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",11753,13265,"T7p24","4B",32384
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",12987,13326,"T7p25","4.2",14479
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",13351,13564,"T7p26","4.3",17101
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",13583,13853,"T7p27","4.5",12823
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",13926,14334,"T7p28","4.7",9647
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",14352,16467,"T7p29","5",67788
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",16482,16839,"T7p30","5.3",24876
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",16850,17359,"T7p31","5.5-5.7",46061
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",16850,17150,"T7p32","5.5",31904
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",17149,17359,"T7p33","5.7",25703
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",17358,17517,"T7p34","5.9",18105
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",17503,18406,"T7p35","6",103689
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",18393,18507,"T7p36","6.3",23603
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",18604,18859,"T7p37","6.5",252154
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",18863,19130,"T7p38","6.7",269250
"phi10","wt-10","wt","phi10","PA143","4","T7Hi",19129,19531,"T7p39","7",380487
