"control","strain","gene","estimate","p.value","padj"
"8st-910","8st-910evo","9",-0.0074,0.0043,0.0087
"8st-910","8st-910evo","13",-0.0037,0.0034,0.0087
"8st-910","8st-910evo","7.7",-0.016,0.0055,0.01
"8st-910","8st-910evo","6.5",-0.012,0.0063,0.011
"8st-910","8st-910evo","11",-0.0017,0.0071,0.012
"8st-910","8st-910evo","18.7",-0.0061,0.0084,0.014
"8st-910","8st-910evo","4.7",0.0029,0.01,0.017
"8st-910","8st-910evo","19.3",-0.0069,0.012,0.019
"8st-910","8st-910evo","4.5",0.015,0.016,0.025
"8st-910","8st-910evo","6.3",0.0088,0.016,0.025
"8st-910","8st-910evo","18.5",-0.0091,0.017,0.026
"8st-910","8st-910evo","19",-0.0051,0.021,0.03
"8st-910","8st-910evo","17",-0.0069,0.026,0.037
"8st-910","8st-910evo","3.5",0.0058,0.033,0.046
"8st-910","8st-910evo","19.2",-0.0053,0.055,0.075
"8st-910","8st-910evo","3",0.01,0.07,0.094
"8st-910","8st-910evo","0.3",0.00033,0.073,0.095
"8st-910","8st-910evo","1.3",0.0012,0.081,0.1
"8st-910","8st-910evo","0.7",0.00016,0.085,0.1
"8st-910","8st-910evo","1",-3e-04,0.084,0.1
"8st-910","8st-910evo","19.5",-0.026,0.086,0.1
"8st-910","8st-910evo","1.5",0.0036,0.12,0.14
"8st-910","8st-910evo","1.4",0.0015,0.13,0.15
"8st-910","8st-910evo","0.4",7.8e-07,0.24,0.27
"8st-910","8st-910evo","1.1",-0.0013,0.25,0.28
"8st-910","8st-910evo","0.5",9.8e-07,0.26,0.28
"8st-910","8st-910evo","0.6A",5.4e-07,0.39,0.42
"8st-910","8st-910evo","0.6B",3.5e-07,0.4,0.42
"8st-910","8st-910evo","1.2",5e-04,0.45,0.46
"8st-910","8st-910evo","17.5",-0.002,0.46,0.47
"8st-910","8st-910evo","18",-0.0018,0.47,0.47
