"","strain","treatment","background","knockout","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","star"
"42","phi10","wt-10","wt","phi10",1578068.54432222,-0.997088400845058,0.193458623578767,-5.15401372345179,2.5496927083841e-07,7.64907812515229e-06,"10A","***"
"43","phi10","wt-10","wt","phi10",330420.870820378,-0.653436538414616,0.200215755673871,-3.26366192418438,0.00109982316896916,0.0219964633793832,"12","*"
"44","phi10","wt-10","wt","phi10",95744.5727190933,-0.71284451474863,0.232849741372112,-3.06139277006733,0.00220309887732881,0.0330464831599321,"11","*"
"45","11-44","deop","10deop","wt",173530.548937987,0.740776222571077,0.165444068449436,4.47750245453784,7.5521359576142e-06,0.000260527253694786,"18.5","***"
"46","11-44","deop","10deop","wt",138376.899050629,1.01413427621997,0.228019255412265,4.44758173771942,8.6842417898262e-06,0.000260527253694786,"19.2","***"
"47","11-44","deop","10deop","wt",101316.90644541,0.699499918143458,0.165821477926423,4.21839153100442,2.4605128872478e-05,0.000325217173945229,"18.7","***"
"48","11-44","deop","10deop","wt",623230.240727202,0.900855450976243,0.21466583936965,4.19654777686817,2.71014311621024e-05,0.000325217173945229,"19","***"
"49","11-44","deop","10deop","wt",89575.6228481595,0.901979742049638,0.210200192969873,4.29105097053319,1.77829487687623e-05,0.000325217173945229,"19.3","***"
"50","11-44","deop","10deop","wt",86010.3253341956,0.575665157276883,0.164675195243253,3.4957611947964,0.000472711551619714,0.00472711551619714,"1","**"
"51","11-44","deop","10deop","wt",53409.9879834773,-0.526619076570195,0.155881105837871,-3.37833808491146,0.000729253634255415,0.00625074543647499,"5.5","**"
"52","11-44","deop","10deop","wt",79381.3851686112,-0.49340252061483,0.151499192887924,-3.25679966479979,0.00112675926229978,0.00845069446724834,"5.5-5.7","**"
"53","11-44","deop","10deop","wt",58969.5351316724,-0.867832566786431,0.301291021188139,-2.88037978484769,0.00397196393052297,0.0264797595368198,"4.3","*"
"54","11-44","deop","10deop","wt",933245.86464045,0.611722758921801,0.219185180152392,2.7908947060038,0.00525625684960792,0.0315375410976475,"16","*"
"55","11-44","deop","10deop","wt",45135.5724171598,-0.407109144387681,0.148305809784448,-2.7450653819927,0.00604988431959619,0.0329993690159792,"5.7","*"
"56","11-44","deop","10deop","wt",41149.6318538543,-0.694568570851963,0.267575938428138,-2.59578112640536,0.00943761625051875,0.0471880812525937,"4.2","*"
"57","11-44-phi9v2","deop-9","10deop","phi9",568115.552042353,-1.82824036724643,0.172823564665063,-10.5786521114156,3.74304040987581e-26,1.90895060903667e-24,"9","***"
"58","11-44-phi9v2","deop-9","10deop","phi9",173530.548937987,0.914539828094217,0.165442848457232,5.52782931763067,3.24217245394861e-08,8.26753975756896e-07,"18.5","***"
"59","11-44-phi9v2","deop-9","10deop","phi9",138376.899050629,1.18765157133556,0.228018268203146,5.2085807891386,1.90290494605214e-07,3.23493840828864e-06,"19.2","***"
"60","11-44-phi9v2","deop-9","10deop","phi9",89575.6228481595,1.05724406351728,0.210198591943653,5.02973903745603,4.91147845683451e-07,6.26213503246401e-06,"19.3","***"
"61","11-44-phi9v2","deop-9","10deop","phi9",101316.90644541,0.818026937215048,0.16581970716135,4.93323110514887,8.08803618774017e-07,7.14709739498162e-06,"18.7","***"
"62","11-44-phi9v2","deop-9","10deop","phi9",623230.240727202,1.05736612382622,0.21466561368988,4.92564275037436,8.40834987644897e-07,7.14709739498162e-06,"19","***"
"63","11-44-phi9v2","deop-9","10deop","phi9",840080.564672161,-0.728285087234273,0.184345674576763,-3.95064917528623,7.79395006901178e-05,0.00056784493359943,"8","***"
"64","11-44-phi9v2","deop-9","10deop","phi9",1692334.13769414,-0.703678852652803,0.187901687547465,-3.74493098937735,0.000180443368315537,0.00115032647301155,"10B","**"
"65","11-44-phi9v2","deop-9","10deop","phi9",1047696.50868411,0.639219200875263,0.174110390681053,3.67134436017795,0.000241277990883638,0.00136724194834062,"17","**"
"66","11-44-phi9v2","deop-9","10deop","phi9",1578068.54432222,-0.626457884128678,0.193458470387658,-3.23820343908107,0.0012028500308357,0.00613453515726209,"10A","**"
"67","11-44-phi9v2","deop-9","10deop","phi9",95744.5727190933,-0.698447935990132,0.23284951411807,-2.99956793397462,0.0027036282484969,0.0125350036975766,"11","*"
"68","11-44-phi9v2","deop-9","10deop","phi9",136453.287990558,0.518268864162779,0.177586691928682,2.91839922538179,0.00351833578444832,0.0149529270839054,"18","*"
"69","11-44-phi9v2","deop-9","10deop","phi9",933245.86464045,0.630734199837652,0.219185100507375,2.8776326418977,0.00400671426767844,0.0157186482808923,"16","*"
"70","11-44-phi9v2","deop-9","10deop","phi9",50002.3580547115,-1.19811945220292,0.451875044391179,-2.65143974440362,0.00801494127707634,0.0291972860807781,"4.5","*"
"71","11-44-phi9v2","deop-9","10deop","phi9",213683.057837228,-0.482634450000799,0.185811039409775,-2.59744766260324,0.0093919431838478,0.0319326068250825,"2.5","*"
"72","11-44-phi9v2","deop-9","10deop","phi9",58969.5351316724,-0.73103829944241,0.301285026130277,-2.4264010356967,0.0152494087501401,0.0486074903910717,"4.3","*"
"73","11-44-phi10","deop-10","10deop","phi10",1692334.13769414,-1.47958821511713,0.187902026209128,-7.87425364679362,3.42782902043717e-15,2.0566974122623e-13,"10B","***"
"74","11-44-phi10","deop-10","10deop","phi10",1578068.54432222,-1.41024013654933,0.19345881603105,-7.28961422116319,3.10843805261261e-13,9.32531415783783e-12,"10A","***"
"75","11-44-phi10","deop-10","10deop","phi10",568115.552042353,-1.1048617121857,0.172822285292537,-6.39305116417997,1.62607820229058e-10,3.25215640458116e-09,"9","***"
"76","11-44-phi10","deop-10","10deop","phi10",95744.5727190933,-1.44358806786211,0.232854640692485,-6.19952457708822,5.66339735502879e-10,8.49509603254319e-09,"11","***"
"77","11-44-phi10","deop-10","10deop","phi10",330420.870820378,-0.816940489479574,0.200216045904719,-4.08029479249805,4.49786218892305e-05,0.000539743462670766,"12","***"
"78","11-44-phi10","deop-10","10deop","phi10",173530.548937987,0.557660809332043,0.165444182856859,3.37068852891931,0.000749805810364231,0.00642690694597912,"18.5","**"
"79","11-44-phi10","deop-10","10deop","phi10",138376.899050629,0.777032757816425,0.228019537423445,3.4077464001404,0.000655017401255748,0.00642690694597912,"19.2","**"
"80","11-44-phi10","deop-10","10deop","phi10",89575.6228481595,0.645271400641723,0.210200795010696,3.06978572849302,0.00214212393956747,0.016065929546756,"19.3","*"
